1130020209ERYTHROCIN i.v. Trockensub 1000 mg Amp            004137005995300B080160076802025804752
1120020244FERRO-GRADUMET Depottabl 30 Stk                   000896001380300C060710076803164401152
1120020273KENDURAL Depottabl 30 Stk                         000496000000100C060710076803536601632
1130020646SELSUN Shampoo Susp 60 ml                         000911001650300D100400076801723304142
1130020652SELSUN Shampoo Susp (alt) 120 ml                  001576002430300D100400076801723306812
1130021806EAU PRECIEUSE Dépensier Lös 375 ml                001220001870300D100600040123461177062
1125822801EPIMINERAL Paste 20 g                             0043200060004000000000000000000000001
1125822801EPIMINERAL Paste 20 g                             0043200060004000000000000000000000001
1125574740ADCETRIS Trockensub 50 mg Durchstf                369513394945101A000000076806213200102
1120055805TENSOPLAST Kompressionsbinde 5cmx4.5m             0000000015001000000000040428090182881
1125822801EPIMINERAL Paste 20 g                             0043200060004000000000000000000000001
1120055834TENSOPLAST Kompressionsbinde 10cmx4.5m            0000000025001000000000040428090184931
1125822801EPIMINERAL Paste 20 g                             0043200060004000000000000000000000001
1125822801EPIMINERAL Paste 20 g                             0043200060004000000000000000000000001
1120058502TUBEGAZE Verband weiss Nr 01 20m Finger Zehen     0000000014201000000000076116004410131
1120058519TUBEGAZE Verband weiss Nr 12 20m Finger gross     0000000017001000000000076116004410201
1120058525TUBEGAZE Verband weiss Nr 34 20m Arm Fuss         0000000023201000000000076116004410371
1122731179HIRUDOID Creme 3 mg/g 40 g                        000477000880100D020820076801610505832
1130020646SELSUN Shampoo Susp 60 ml                         000911001650300D100400076801723304142
1120177804ANCOPIR Inj Lös 5 Amp 2 ml                        000337000795100B070240076802848601442
1120020244FERRO-GRADUMET Depottabl 30 Stk                   000896001380300C060710076803164401152
1130598003SOFRADEX Gtt Auric 8 ml                           000718001545300B120130076803169501572
1130023722LANSOYL Gel 225 g                                 001054001625200D040811076803247501902
1120020273KENDURAL Depottabl 30 Stk                         000496000000100C060710076803536601632
1133603779CARBADERM Creme Tb 300 ml                         001622002770300D101000076804033304592
11216999473TC Filmtabl 150 mg 60 Stk                        017201020530100A080300076805366201372
1122465312ZYVOXID Filmtabl 600 mg 10 Stk                    084173094135100A080190076805555800542
1125819012LEVETIRACETAM DESITIN Mini Filmtab 250 mg 30 Stk  001349002780100B000000076806206900842
1121323751MAGNESIUMCHLORID Braun 0.5 molar 10ml Amp 5 Stk   001497002750300B050320076804588202022
1125822801EPIMINERAL Paste 20 g                             0043200060004000000000000000000000001
1125822801EPIMINERAL Paste 20 g                             0043200060004000000000000000000000001
1120850684LIDOCAIN Streuli 1% 20 mg/2ml 10 Amp 2 ml         000556000975300B010220076803001501052
1120935914ROCEPHIN 500 mg i.v. c Solv Durchstf 5 Stk        006084008160100A080130076804462505922
1125822801EPIMINERAL Paste 20 g                             0043200060004000000000000000000000001
1130216094W TROPFEN liq 11.5 g                              000658001080201D100700076801659801142
1125822801EPIMINERAL Paste 20 g                             0043200060004000000000000000000000001
1122497134CAVERJECT DC Trockensub 20 mcg Fertspr 2 Stk      003496005420100A059900076805567400752
1122134986NAROPIN Inj Lös 0.2 % 100ml Polybag 5 Stk         008275010690300B010220076805401510092
1125822801EPIMINERAL Paste 20 g                             0043200060004000000000000000000000001
1121699999HUMALOG Inj Lös 100 IE/ml Durchstf 10 ml          003040005130101B070610076805329001962
1125822801EPIMINERAL Paste 20 g                             0043200060004000000000000000000000001
