1117199565DIBASE Tropfen 10000 IE/ml Fl 10 ml               000561000925100D000000000000000000002
1120020209ERYTHROCIN i.v. Trockensub 1000 mg Amp            005053006915300B080160076802025804752
1120020244FERRO-GRADUULTRALAN Creme 0.5 MET Depottabl 30 Stk000896001380300C060710076803164401152
1120020244FERRO-GRADUULTRALAN Creme 0.5 MET Depottabl 30 Stk000896001380300C060710076803164401152
1120020244FERRO-GRADUULTRALAN Creme 0.5 MET Depottabl 30 Stk000896001380300C060710076803164401152
1120020273KENDURAL Depottabl 30 Stk                         000496000000100C060710076803536601632
1120055805TENSOPLAST Kompressionsbinde 5cmx4.5m             0000000022951000000000040428090182881
1120055834TENSOPLAST Kompressionsbinde 10cmx4.5m            0000000034351000000000040428090184931
1120058502TUBEGAZE Verband weiss Nr 01 20m Finger Zehen     0000000014201000000000076116004410131
1120058519TUBEGAZE Verband weiss Nr 12 20m Finger gross     0000000017001000000000076116004410201
1120058525TUBEGAZE Verband weiss Nr 34 20m Arm Fuss         0000000023201000000000076116004410371
1120177804ANCOPIR Inj Lös 5 Amp 2 ml                        000383000795100B070240076802848601442
1120850684LIDOCAIN Streuli 1% 20 mg/2ml 10 Amp 2 ml         000556000975300B010220076803001501052
1120935914ROCEPHIN 500 mg i.v. c Solv Durchstf 5 Stk        006155008160100A080130076804462505922
1121323751MAGNESIUMCHLORID Braun 0.5 molar 10ml Amp 5 Stk   001497002750300B050320076804588202022
11216999473TC Filmtabl 150 mg 60 Stk                        017596020530100A080300076805366201372
11216999473TC Filmtabl 150 mg 60 Stk                        017596020530100A080300076805366201372
1121699999HUMALOG Inj Lös 100 IE/ml Durchstf 10 ml          003040005130101B070610076805329001962
1122134986NAROPIN Inj Lös 0.2 % 100ml Polybag 5 Stk         008275010690300B010220076805401510092
1122465312ZYVOXID Filmtabl 600 mg 10 Stk                    084173094135100A080190076805555800542
1122465312ZYVOXID Filmtabl 600 mg 10 Stk                    084173094135100A080190076805555800542
1122465312ZYVOXID Filmtabl 600 mg 10 Stk                    084173094135100A080190076805555800542
1122497134CAVERJECT DC Trockensub 20 mcg Fertspr 2 Stk      003496005420100A059900076805567400752
1122731179HIRUDOID Creme 3 mg/g 40 g                        000477000880100D020820076801610505832
1122731179HIRUDOID Creme 3 mg/g 40 g                        000477000880100D020820076801610505832
1122871437CANIPHEDRIN Tabl 20 mg ad us vet. 100 Stk         001329002045400C000000076804706601832
1122871443CANIPHEDRIN Tabl 20 mg ad us vet. 500 Stk         004873006770400C000000000000000000002
1122871466CANIPHEDRIN Tabl 50 mg ad us vet. 100 Stk         001425002675400C000000076804706604282
1122871472CANIPHEDRIN Tabl 50 mg ad us vet. 500 Stk         005444007425400C000000000000000000002
1125565072SEMPER Cookie-O's Biskuit glutenfrei 150 g        0004460007054000000000073101005542602
1125574740ADCETRIS Trockensub 50 mg Durchstf                369513394945101A000000076806213200102
1125819012LEVETIRACETAM DESITIN Mini Filmtab 250 mg 30 Stk  001349002780100B000000076806206900842
1125819012LEVETIRACETAM DESITIN Mini Filmtab 250 mg 30 Stk  001349002780100B000000076806206900842
1125822801EPIMINERAL Paste 20 g                             0043200060004000000000000000000000001
1125830700EPIMINERAL Wundgranulat 6 g                       0043200060004000000000000000000000001
1126000923CER'8 after sting Roll-on 20 ml                   0005900008204000000000000000000000001
1126364016W TROPFEN liq 10 ml                               000696000980200D100700076801659801142
1126749124TEBOKAN Filmtabl 240 mg 30 Stk                    003603005420100B029700076805453400192
1128111222DermaSilk Set Body + Strumpfhöschen 24–36 Mon (98)0154250164800000000000000000000000002
1128111611Coral mineral K2 Kapseln 90 Stk                   0046260073950000000000008997220003402
1128111718Inkosport Activ Pro 80 Himbeer – Joghurt Ds 750g  0034230054700000000000042600576615172
1130021806EAU PRECIEUSE Dépensier Lös 375 ml                001220001870300D100600040123461177062
1130021976DIOPARINE Gtt Opht 7500 E 5 ml                    0007380013400000000000000000000000002
1130023722LANSOY  L Gel 225 g                               001054001625200D040811076803247501902
1130023722LANSOY  L Gel 225 g                               001054001625200D040811076803247501902
1130023722LANSOY  L Gel 225 g                               001054001625200D040811076803247501902
1130027447ARTHROSENEXricola* Salbe 100 g                    0012930024300000000000000000000000002
1130028470COMPLAMIN RETARD Tabl 500 mg 60 Stk               001817003110300C020430000000000000002
1130216094W TROPFEN liq 11.5 g                              000658001080201D100700076801659801142
1130598003SOFRADEX Gtt Auric 8 ml                           000718001545300B120130076803169501572
1130598003SOFRADEX Gtt Auric 8 ml                           000718001545300B120130076803169501572
1130598003SOFRADEX Gtt Auric 8 ml                           000718001545300B120130076803169501572
1123603779CARBADERM Creme Tb 300 ml                         001622002770300D101000076804033304592
